,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
37,mfcc,3,0.5,26,10,0.20588235294117646,0.18071086191591848,"(26, 141)","(951, 72000)","(238, 72000)"
38,mfcc,3,0.5,34,10,0.23109243697478993,0.20131267153325974,"(34, 141)","(951, 72000)","(238, 72000)"
39,mfcc,3,0.5,40,10,0.2857142857142857,0.2495029175735697,"(40, 141)","(951, 72000)","(238, 72000)"
40,mfcc,3,0.75,10,10,0.1638655462184874,0.13712301587301587,"(10, 141)","(951, 72000)","(238, 72000)"
41,mfcc,3,0.75,18,10,0.16806722689075632,0.13606382741491854,"(18, 141)","(951, 72000)","(238, 72000)"
42,mfcc,3,0.75,26,10,0.20168067226890757,0.17675592359767892,"(26, 141)","(951, 72000)","(238, 72000)"
43,mfcc,3,0.75,34,10,0.24369747899159663,0.20925310869518818,"(34, 141)","(951, 72000)","(238, 72000)"
44,mfcc,3,0.75,40,10,0.2815126050420168,0.24369597994597994,"(40, 141)","(951, 72000)","(238, 72000)"
45,mfcc,3,1.0,10,10,0.15966386554621848,0.1389016785348307,"(10, 141)","(951, 72000)","(238, 72000)"
46,mfcc,3,1.0,18,10,0.1722689075630252,0.13772178695947054,"(18, 141)","(951, 72000)","(238, 72000)"
47,mfcc,3,1.0,26,10,0.19747899159663862,0.16723937182528512,"(26, 141)","(951, 72000)","(238, 72000)"
48,mfcc,3,1.0,34,10,0.2647058823529412,0.23409912133789845,"(34, 141)","(951, 72000)","(238, 72000)"
49,mfcc,3,1.0,40,10,0.2773109243697479,0.23668458033089035,"(40, 141)","(951, 72000)","(238, 72000)"
50,mfcc,2,0.0,10,10,0.6691358024691358,0.6693278365153366,"(10, 94)","(1618, 48000)","(405, 48000)"
51,mfcc,2,0.0,18,10,0.8419753086419753,0.8366464689994103,"(18, 94)","(1618, 48000)","(405, 48000)"
52,mfcc,2,0.0,26,10,0.8518518518518519,0.8535586519961521,"(26, 94)","(1618, 48000)","(405, 48000)"
53,mfcc,2,0.0,34,10,0.8666666666666667,0.8712957516411463,"(34, 94)","(1618, 48000)","(405, 48000)"
54,mfcc,2,0.0,40,10,0.8839506172839506,0.8880203708328708,"(40, 94)","(1618, 48000)","(405, 48000)"
55,mfcc,2,0.25,10,10,0.12098765432098765,0.11512922932330827,"(10, 94)","(1618, 48000)","(405, 48000)"
56,mfcc,2,0.25,18,10,0.12345679012345678,0.10454378144466187,"(18, 94)","(1618, 48000)","(405, 48000)"
57,mfcc,2,0.25,26,10,0.16296296296296298,0.15317761997752308,"(26, 94)","(1618, 48000)","(405, 48000)"
58,mfcc,2,0.25,34,10,0.17530864197530865,0.1488383113022638,"(34, 94)","(1618, 48000)","(405, 48000)"
59,mfcc,2,0.25,40,10,0.20493827160493827,0.17739279002420774,"(40, 94)","(1618, 48000)","(405, 48000)"
60,mfcc,2,0.5,10,10,0.145679012345679,0.133559943667784,"(10, 94)","(1618, 48000)","(405, 48000)"
61,mfcc,2,0.5,18,10,0.11851851851851852,0.09325955431606858,"(18, 94)","(1618, 48000)","(405, 48000)"
62,mfcc,2,0.5,26,10,0.15555555555555556,0.146495873096626,"(26, 94)","(1618, 48000)","(405, 48000)"
63,mfcc,2,0.5,34,10,0.1728395061728395,0.1457552970544259,"(34, 94)","(1618, 48000)","(405, 48000)"
64,mfcc,2,0.5,40,10,0.1925925925925926,0.17186933133768825,"(40, 94)","(1618, 48000)","(405, 48000)"
65,mfcc,2,0.75,10,10,0.14814814814814814,0.13218215597349703,"(10, 94)","(1618, 48000)","(405, 48000)"
66,mfcc,2,0.75,18,10,0.11358024691358025,0.08802268360130609,"(18, 94)","(1618, 48000)","(405, 48000)"
67,mfcc,2,0.75,26,10,0.16049382716049382,0.16485024247378632,"(26, 94)","(1618, 48000)","(405, 48000)"
68,mfcc,2,0.75,34,10,0.1728395061728395,0.15160103538275976,"(34, 94)","(1618, 48000)","(405, 48000)"
69,mfcc,2,0.75,40,10,0.18271604938271607,0.15971231044203973,"(40, 94)","(1618, 48000)","(405, 48000)"
70,mfcc,2,1.0,10,10,0.145679012345679,0.12919452632349304,"(10, 94)","(1618, 48000)","(405, 48000)"
71,mfcc,2,1.0,18,10,0.10864197530864197,0.08489785492073822,"(18, 94)","(1618, 48000)","(405, 48000)"
72,mfcc,2,1.0,26,10,0.14074074074074075,0.1380904435438749,"(26, 94)","(1618, 48000)","(405, 48000)"
73,mfcc,2,1.0,34,10,0.17530864197530865,0.15424364047834438,"(34, 94)","(1618, 48000)","(405, 48000)"
74,mfcc,2,1.0,40,10,0.18024691358024691,0.16752586137624806,"(40, 94)","(1618, 48000)","(405, 48000)"
