feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
fft,3,0.0,256,3,0.08383233532934131,0.0642857142857143,"(256,)","(665, 72000)","(167, 72000)",cnn
fft,3,0.25,256,3,0.0658682634730539,0.05429292929292928,"(256,)","(665, 72000)","(167, 72000)",cnn
fft,3,0.5,256,3,0.041916167664670656,0.02774621212121212,"(256,)","(665, 72000)","(167, 72000)",cnn
fft,3,0.75,256,3,0.03592814371257485,0.017757936507936507,"(256,)","(665, 72000)","(167, 72000)",cnn
