feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
fft,2,0.0,256,3,0.07586206896551724,0.07471839503089503,"(256,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.25,256,3,0.034482758620689655,0.037766495487083725,"(256,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.5,256,3,0.06551724137931035,0.058661390692640696,"(256,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.75,256,3,0.05862068965517241,0.05005344770969771,"(256,)","(1157, 48000)","(290, 48000)",knn
fft,2,1.0,256,3,0.05862068965517241,0.047397258242846484,"(256,)","(1157, 48000)","(290, 48000)",knn
