feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,2,0.0,512,3,0.14482758620689656,0.05285534665547276,"(513,)","(1157, 48000)","(290, 48000)",lstm
lpc,2,0.25,512,3,0.08275862068965517,0.03085581270557174,"(513,)","(1157, 48000)","(290, 48000)",lstm
lpc,2,0.5,512,3,0.020689655172413793,0.004992275825609159,"(513,)","(1157, 48000)","(290, 48000)",lstm
lpc,2,0.75,512,3,0.1103448275862069,0.024499944661816125,"(513,)","(1157, 48000)","(290, 48000)",lstm
lpc,2,1.0,512,3,0.010344827586206896,0.005208333333333333,"(513,)","(1157, 48000)","(290, 48000)",lstm
