feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,3,0.0,2048,3,0.10179640718562874,0.03390710286090721,"(2049,)","(665, 72000)","(167, 72000)",lstm
lpc,3,0.25,2048,3,0.023952095808383235,0.013289517195767195,"(2049,)","(665, 72000)","(167, 72000)",lstm
lpc,3,0.5,2048,3,0.005988023952095809,0.001488095238095238,"(2049,)","(665, 72000)","(167, 72000)",lstm
lpc,3,0.75,2048,3,0.005988023952095809,0.0008680555555555555,"(2049,)","(665, 72000)","(167, 72000)",lstm
lpc,3,1.0,2048,3,0.04790419161676647,0.016779361598440543,"(2049,)","(665, 72000)","(167, 72000)",lstm
