feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
stft,1,0.0,256,3,0.6755555555555556,0.6637058552257855,"(129, 376)","(2696, 24000)","(675, 24000)",cnn
stft,1,0.25,256,3,0.5022222222222222,0.4846780722862001,"(129, 376)","(2696, 24000)","(675, 24000)",cnn
stft,1,0.5,256,3,0.32,0.2796022664935199,"(129, 376)","(2696, 24000)","(675, 24000)",cnn
stft,1,0.75,256,3,0.01037037037037037,0.00043344100815537076,"(129, 376)","(2696, 24000)","(675, 24000)",cnn
stft,1,1.0,256,3,0.008888888888888889,0.0008931691330700801,"(129, 376)","(2696, 24000)","(675, 24000)",cnn
