feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
stft,3,0.0,2048,3,0.47904191616766467,0.4224371693121693,"(1025, 141)","(665, 72000)","(167, 72000)",cnn
stft,3,0.25,2048,3,0.31736526946107785,0.2578725459482038,"(1025, 141)","(665, 72000)","(167, 72000)",cnn
stft,3,0.5,2048,3,0.011976047904191617,0.0021511410400299287,"(1025, 141)","(665, 72000)","(167, 72000)",cnn
stft,3,0.75,2048,3,0.023952095808383235,0.003710511982570806,"(1025, 141)","(665, 72000)","(167, 72000)",cnn
stft,3,1.0,2048,3,0.2694610778443114,0.221494708994709,"(1025, 141)","(665, 72000)","(167, 72000)",cnn
