feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
stft,3,0.0,256,3,0.4431137724550898,0.37792658730158735,"(129, 1126)","(665, 72000)","(167, 72000)",cnn
stft,3,0.25,256,3,0.38323353293413176,0.3186425264550264,"(129, 1126)","(665, 72000)","(167, 72000)",cnn
stft,3,0.5,256,3,0.017964071856287425,0.007737667624521073,"(129, 1126)","(665, 72000)","(167, 72000)",cnn
stft,3,0.75,256,3,0.005988023952095809,0.0016025641025641027,"(129, 1126)","(665, 72000)","(167, 72000)",cnn
stft,3,1.0,256,3,0.32335329341317365,0.2489853896103896,"(129, 1126)","(665, 72000)","(167, 72000)",cnn
