feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
fft,2,0.0,2048,3,0.2827586206896552,0.2703435453435454,"(2048,)","(1157, 48000)","(290, 48000)",mlp
fft,2,0.25,2048,3,0.2689655172413793,0.2627405002405002,"(2048,)","(1157, 48000)","(290, 48000)",mlp
fft,2,0.5,2048,3,0.2689655172413793,0.2649866337366337,"(2048,)","(1157, 48000)","(290, 48000)",mlp
fft,2,0.75,2048,3,0.23448275862068965,0.23296130952380953,"(2048,)","(1157, 48000)","(290, 48000)",mlp
fft,2,1.0,2048,3,0.24482758620689654,0.22705203544019334,"(2048,)","(1157, 48000)","(290, 48000)",mlp
