feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,1,0.0,26,3,0.8918518518518519,0.8867159913744667,"(26, 47)","(2696, 24000)","(675, 24000)",svm
mfcc,1,0.25,26,3,0.6962962962962963,0.6873244351139256,"(26, 47)","(2696, 24000)","(675, 24000)",svm
mfcc,1,0.5,26,3,0.6074074074074074,0.6058476209151772,"(26, 47)","(2696, 24000)","(675, 24000)",svm
mfcc,1,0.75,26,3,0.5155555555555555,0.5063244642495404,"(26, 47)","(2696, 24000)","(675, 24000)",svm
mfcc,1,1.0,26,3,0.48148148148148145,0.4757124801671051,"(26, 47)","(2696, 24000)","(675, 24000)",svm
