feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,2,0.0,10,3,0.7551724137931034,0.7385412619787619,"(10, 94)","(1157, 48000)","(290, 48000)",svm
mfcc,2,0.25,10,3,0.4172413793103449,0.37322781385281384,"(10, 94)","(1157, 48000)","(290, 48000)",svm
mfcc,2,0.5,10,3,0.32413793103448274,0.2810274216524216,"(10, 94)","(1157, 48000)","(290, 48000)",svm
mfcc,2,0.75,10,3,0.27241379310344827,0.23743603040478037,"(10, 94)","(1157, 48000)","(290, 48000)",svm
mfcc,2,1.0,10,3,0.22413793103448276,0.18580134137199356,"(10, 94)","(1157, 48000)","(290, 48000)",svm
