feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,1,0.0,18,3,0.8340740740740741,0.8254431827531127,"(18, 47)","(2696, 24000)","(675, 24000)",svm
mfcc,1,0.25,18,3,0.6207407407407407,0.6000522127995332,"(18, 47)","(2696, 24000)","(675, 24000)",svm
mfcc,1,0.5,18,3,0.5466666666666666,0.5260296603347099,"(18, 47)","(2696, 24000)","(675, 24000)",svm
mfcc,1,0.75,18,3,0.4696296296296296,0.44539664534242124,"(18, 47)","(2696, 24000)","(675, 24000)",svm
mfcc,1,1.0,18,3,0.4103703703703704,0.39641639853543903,"(18, 47)","(2696, 24000)","(675, 24000)",svm
