feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
fft,3,0.0,256,0,0.0718562874251497,0.042745535714285715,"(256,)","(665, 72000)","(167, 72000)",knn
fft,3,0.0,512,0,0.08383233532934131,0.06292989417989418,"(512,)","(665, 72000)","(167, 72000)",knn
fft,3,0.0,1024,0,0.09580838323353294,0.06421703296703297,"(1024,)","(665, 72000)","(167, 72000)",knn
fft,3,0.0,2048,0,0.10778443113772455,0.06378530578898227,"(2048,)","(665, 72000)","(167, 72000)",knn
