,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,stft,1,0.0,256,5,0.4474074074074074,0.4362859587954024,"(129, 376)","(2696, 24000)","(675, 24000)"
1,stft,1,0.0,512,5,0.46370370370370373,0.4550626224871371,"(257, 188)","(2696, 24000)","(675, 24000)"
2,stft,1,0.0,1024,5,0.4918518518518519,0.48474247045494506,"(513, 94)","(2696, 24000)","(675, 24000)"
3,stft,1,0.0,2048,5,0.522962962962963,0.5144486289102194,"(1025, 47)","(2696, 24000)","(675, 24000)"
