,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,fft,4,0.0,256,0,0.07317073170731707,0.03951101856948732,"(256,)","(656, 96000)","(164, 96000)"
1,fft,4,0.0,512,0,0.08536585365853659,0.05451906899789,"(512,)","(656, 96000)","(164, 96000)"
2,fft,4,0.0,1024,0,0.1524390243902439,0.10589515554054561,"(1024,)","(656, 96000)","(164, 96000)"
3,fft,4,0.0,2048,0,0.21951219512195122,0.18305010592244636,"(2048,)","(656, 96000)","(164, 96000)"
4,fft,3,0.0,256,0,0.05042016806722689,0.02285578071868395,"(256,)","(951, 72000)","(238, 72000)"
5,fft,3,0.0,512,0,0.058823529411764705,0.03055584121760592,"(512,)","(951, 72000)","(238, 72000)"
