feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,2,0.0,40,3,0.8827586206896552,0.8746693121693122,"(40, 94)","(1157, 48000)","(290, 48000)",cnn
mfcc,2,0.25,40,3,0.8000000000000002,0.7774222305472304,"(40, 94)","(1157, 48000)","(290, 48000)",cnn
mfcc,2,0.5,40,3,0.7586206896551724,0.7440325877825877,"(40, 94)","(1157, 48000)","(290, 48000)",cnn
mfcc,2,0.75,40,3,0.7103448275862069,0.6802019739519739,"(40, 94)","(1157, 48000)","(290, 48000)",cnn
mfcc,2,1.0,40,3,0.7379310344827587,0.717199525012025,"(40, 94)","(1157, 48000)","(290, 48000)",cnn
