feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,1,0.0,10,3,0.6874074074074074,0.6758630763371475,"(10, 47)","(2696, 24000)","(675, 24000)",cnn
mfcc,1,0.25,10,3,0.6118518518518519,0.5907712834774154,"(10, 47)","(2696, 24000)","(675, 24000)",cnn
mfcc,1,0.5,10,3,0.5688888888888889,0.5405294637279932,"(10, 47)","(2696, 24000)","(675, 24000)",cnn
mfcc,1,0.75,10,3,0.5896296296296296,0.5671620260592708,"(10, 47)","(2696, 24000)","(675, 24000)",cnn
mfcc,1,1.0,10,3,0.5392592592592592,0.5055919221680091,"(10, 47)","(2696, 24000)","(675, 24000)",cnn
