feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,3,0.0,40,3,0.8682634730538922,0.8446676587301587,"(40, 141)","(665, 72000)","(167, 72000)",cnn
mfcc,3,0.25,40,3,0.7964071856287425,0.7798363095238097,"(40, 141)","(665, 72000)","(167, 72000)",cnn
mfcc,3,0.5,40,3,0.8083832335329342,0.7569940476190476,"(40, 141)","(665, 72000)","(167, 72000)",cnn
mfcc,3,0.75,40,3,0.7964071856287425,0.7699156746031747,"(40, 141)","(665, 72000)","(167, 72000)",cnn
mfcc,3,1.0,40,3,0.7065868263473054,0.6599206349206349,"(40, 141)","(665, 72000)","(167, 72000)",cnn
