feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,3,0.0,26,3,0.8802395209580839,0.8621527777777778,"(26, 141)","(665, 72000)","(167, 72000)",cnn
mfcc,3,0.25,26,3,0.8862275449101796,0.8819940476190475,"(26, 141)","(665, 72000)","(167, 72000)",cnn
mfcc,3,0.5,26,3,0.8203592814371257,0.7948660714285714,"(26, 141)","(665, 72000)","(167, 72000)",cnn
mfcc,3,0.75,26,3,0.7724550898203594,0.7263888888888889,"(26, 141)","(665, 72000)","(167, 72000)",cnn
mfcc,3,1.0,26,3,0.7664670658682635,0.7277281746031746,"(26, 141)","(665, 72000)","(167, 72000)",cnn
