feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
fft,1,0.0,256,3,0.09925925925925926,0.09474585708724535,"(256,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.0,512,3,0.09925925925925926,0.09974470314105548,"(512,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.0,1024,3,0.1437037037037037,0.1419384414758049,"(1024,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.0,2048,3,0.18074074074074073,0.18468924705829912,"(2048,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.25,256,3,0.04,0.050718800534977015,"(256,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.25,512,3,0.07703703703703704,0.07789279343678877,"(512,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.25,1024,3,0.10814814814814815,0.10834909735651592,"(1024,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.25,2048,3,0.14074074074074075,0.14634153680738288,"(2048,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.5,256,3,0.07555555555555556,0.0698235543417335,"(256,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.5,512,3,0.08444444444444445,0.07862019842718916,"(512,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.5,1024,3,0.08592592592592592,0.08750427255208676,"(1024,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.5,2048,3,0.11703703703703704,0.12236466465820078,"(2048,)","(2696, 24000)","(675, 24000)",knn
fft,1,1.0,256,3,0.07851851851851852,0.07714185432364945,"(256,)","(2696, 24000)","(675, 24000)",knn
fft,1,1.0,512,3,0.09481481481481482,0.09041068315273716,"(512,)","(2696, 24000)","(675, 24000)",knn
fft,1,1.0,1024,3,0.1259259259259259,0.11491663973329735,"(1024,)","(2696, 24000)","(675, 24000)",knn
fft,1,1.0,2048,3,0.14814814814814814,0.134951679577176,"(2048,)","(2696, 24000)","(675, 24000)",knn
