,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
3,mfcc,1,0.0,34,3,0.4888888888888889,0.4988054048729236,"(34, 47)","(2696, 24000)","(675, 24000)",knn
4,mfcc,1,0.0,40,3,0.4681481481481481,0.4707867878975196,"(40, 47)","(2696, 24000)","(675, 24000)",knn
5,mfcc,1,0.25,10,3,0.2592592592592592,0.2306868795182801,"(10, 47)","(2696, 24000)","(675, 24000)",knn
6,mfcc,1,0.25,18,3,0.3348148148148148,0.3178584631156355,"(18, 47)","(2696, 24000)","(675, 24000)",knn
7,mfcc,1,0.25,26,3,0.4148148148148148,0.4030918758668777,"(26, 47)","(2696, 24000)","(675, 24000)",knn
8,mfcc,1,0.25,34,3,0.4459259259259259,0.435529525687325,"(34, 47)","(2696, 24000)","(675, 24000)",knn
9,mfcc,1,0.25,40,3,0.4222222222222222,0.4111427804271977,"(40, 47)","(2696, 24000)","(675, 24000)",knn
10,mfcc,1,0.5,10,3,0.2459259259259259,0.2255952576294021,"(10, 47)","(2696, 24000)","(675, 24000)",knn
11,mfcc,1,0.5,18,3,0.3659259259259259,0.3452833801684966,"(18, 47)","(2696, 24000)","(675, 24000)",knn
12,mfcc,1,0.5,26,3,0.4237037037037037,0.4051642306745828,"(26, 47)","(2696, 24000)","(675, 24000)",knn
13,mfcc,1,0.5,34,3,0.4251851851851851,0.4064856052027495,"(34, 47)","(2696, 24000)","(675, 24000)",knn
14,mfcc,1,0.5,40,3,0.4177777777777778,0.4022478137723291,"(40, 47)","(2696, 24000)","(675, 24000)",knn
15,mfcc,1,1.0,10,3,0.2325925925925926,0.1998959270273953,"(10, 47)","(2696, 24000)","(675, 24000)",knn
16,mfcc,1,1.0,18,3,0.3244444444444444,0.3036357973255818,"(18, 47)","(2696, 24000)","(675, 24000)",knn
17,mfcc,1,1.0,26,3,0.3733333333333333,0.3532741787554198,"(26, 47)","(2696, 24000)","(675, 24000)",knn
18,mfcc,1,1.0,34,3,0.3481481481481481,0.3229273134703717,"(34, 47)","(2696, 24000)","(675, 24000)",knn
19,mfcc,1,1.0,40,3,0.3348148148148148,0.3164260799002725,"(40, 47)","(2696, 24000)","(675, 24000)",knn
