feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,1,0.75,10,3,0.13925925925925925,0.10977855772432822,"(10, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.75,18,3,0.2222222222222222,0.1819593461308225,"(18, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.75,26,3,0.26666666666666666,0.23464567682572035,"(26, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.75,34,3,0.3022222222222222,0.2752094181472231,"(34, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.75,40,3,0.2903703703703704,0.2683581326570031,"(40, 47)","(2696, 24000)","(675, 24000)",knn
