feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,1,0.75,256,3,0.20000000000000004,0.17855096076981578,"(257,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.75,512,3,0.11555555555555555,0.09522153126990644,"(513,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.75,1024,3,0.09481481481481482,0.07416430023271194,"(1025,)","(2696, 24000)","(675, 24000)",knn
lpc,1,0.75,2048,3,0.08148148148148149,0.06810840912485289,"(2049,)","(2696, 24000)","(675, 24000)",knn
