feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,1,0.0,10,3,0.3511111111111111,0.33854212209405965,"(10, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.0,18,3,0.4474074074074074,0.435447968331167,"(18, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.0,26,3,0.4785185185185185,0.49096519738945116,"(26, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.0,34,3,0.4888888888888889,0.4988054048729236,"(34, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.0,40,3,0.46814814814814815,0.4707867878975196,"(40, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.25,10,3,0.25925925925925924,0.23068687951828018,"(10, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.25,18,3,0.3348148148148148,0.31785846311563554,"(18, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.25,26,3,0.4148148148148148,0.4030918758668777,"(26, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.25,34,3,0.44592592592592595,0.43552952568732506,"(34, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.25,40,3,0.4222222222222222,0.4111427804271977,"(40, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.5,10,3,0.24592592592592594,0.2255952576294021,"(10, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.5,18,3,0.3659259259259259,0.34528338016849663,"(18, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.5,26,3,0.4237037037037037,0.40516423067458285,"(26, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.5,34,3,0.42518518518518517,0.4064856052027495,"(34, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.5,40,3,0.4177777777777778,0.40224781377232915,"(40, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,1.0,10,3,0.2325925925925926,0.19989592702739536,"(10, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,1.0,18,3,0.3244444444444444,0.3036357973255818,"(18, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,1.0,26,3,0.37333333333333335,0.35327417875541983,"(26, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,1.0,34,3,0.34814814814814815,0.3229273134703717,"(34, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,1.0,40,3,0.3348148148148148,0.3164260799002725,"(40, 47)","(2696, 24000)","(675, 24000)",knn
