feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
fft,1,0.75,256,3,0.08296296296296296,0.07983553073199559,"(256,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.75,512,3,0.08888888888888889,0.08643705704333952,"(512,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.75,1024,3,0.12296296296296297,0.11744230661065513,"(1024,)","(2696, 24000)","(675, 24000)",knn
fft,1,0.75,2048,3,0.13925925925925925,0.1269396802518218,"(2048,)","(2696, 24000)","(675, 24000)",knn
