feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,3,0.75,10,3,0.23353293413173654,0.1949156746031746,"(10, 141)","(665, 72000)","(167, 72000)",knn
mfcc,3,0.75,18,3,0.3473053892215569,0.32176827801827795,"(18, 141)","(665, 72000)","(167, 72000)",knn
mfcc,3,0.75,26,3,0.4011976047904192,0.3601839133089133,"(26, 141)","(665, 72000)","(167, 72000)",knn
mfcc,3,0.75,34,3,0.40718562874251496,0.36894841269841266,"(34, 141)","(665, 72000)","(167, 72000)",knn
mfcc,3,0.75,40,3,0.4251497005988024,0.3888888888888889,"(40, 141)","(665, 72000)","(167, 72000)",knn
