feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
fft,2,0.0,256,3,0.07586206896551724,0.07471839503089503,"(256,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.0,512,3,0.06551724137931035,0.05798686267436267,"(512,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.0,1024,3,0.1103448275862069,0.09572661135161135,"(1024,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.0,2048,3,0.18620689655172415,0.1752172017797018,"(2048,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.25,256,3,0.041379310344827586,0.030676606615432988,"(256,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.25,512,3,0.03793103448275862,0.038347763347763346,"(512,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.25,1024,3,0.07586206896551724,0.06163619366744366,"(1024,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.25,2048,3,0.1310344827586207,0.1151180705868206,"(2048,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.5,256,3,0.07931034482758621,0.07240973725348726,"(256,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.5,512,3,0.06551724137931035,0.05767143735893735,"(512,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.5,1024,3,0.09310344827586207,0.08100305365930366,"(1024,)","(1157, 48000)","(290, 48000)",knn
fft,2,0.5,2048,3,0.10000000000000002,0.09112233709273183,"(2048,)","(1157, 48000)","(290, 48000)",knn
fft,2,1.0,256,3,0.06206896551724138,0.05212661453470277,"(256,)","(1157, 48000)","(290, 48000)",knn
fft,2,1.0,512,3,0.06206896551724138,0.044698935323935325,"(512,)","(1157, 48000)","(290, 48000)",knn
fft,2,1.0,1024,3,0.10344827586206896,0.08343385872168767,"(1024,)","(1157, 48000)","(290, 48000)",knn
fft,2,1.0,2048,3,0.12758620689655173,0.10978159231835703,"(2048,)","(1157, 48000)","(290, 48000)",knn
