feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,2,0.0,18,3,0.16206896551724137,0.13165208633958636,"(18, 94)","(1157, 48000)","(290, 48000)",lstm
mfcc,2,0.25,18,3,0.1482758620689655,0.1296551827801828,"(18, 94)","(1157, 48000)","(290, 48000)",lstm
mfcc,2,0.5,18,3,0.11379310344827587,0.10682269119769121,"(18, 94)","(1157, 48000)","(290, 48000)",lstm
mfcc,2,0.75,18,3,0.07931034482758621,0.06644495550745551,"(18, 94)","(1157, 48000)","(290, 48000)",lstm
mfcc,2,1.0,18,3,0.10344827586206896,0.08250707625707625,"(18, 94)","(1157, 48000)","(290, 48000)",lstm
