feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,1,0.0,34,3,0.25333333333333335,0.23033694501359456,"(34, 47)","(2696, 24000)","(675, 24000)",lstm
mfcc,1,0.25,34,3,0.2222222222222222,0.2066273210506957,"(34, 47)","(2696, 24000)","(675, 24000)",lstm
mfcc,1,0.5,34,3,0.19111111111111112,0.1612355283463651,"(34, 47)","(2696, 24000)","(675, 24000)",lstm
mfcc,1,0.75,34,3,0.17777777777777778,0.16199361215774497,"(34, 47)","(2696, 24000)","(675, 24000)",lstm
mfcc,1,1.0,34,3,0.17185185185185184,0.14637487623622905,"(34, 47)","(2696, 24000)","(675, 24000)",lstm
