feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,1,0.0,10,3,0.29333333333333333,0.2756426422798285,"(10, 47)","(2696, 24000)","(675, 24000)",lstm
mfcc,1,0.25,10,3,0.15259259259259259,0.12510081248570268,"(10, 47)","(2696, 24000)","(675, 24000)",lstm
mfcc,1,0.5,10,3,0.15259259259259259,0.12391592298801957,"(10, 47)","(2696, 24000)","(675, 24000)",lstm
mfcc,1,0.75,10,3,0.11703703703703704,0.09637323941132636,"(10, 47)","(2696, 24000)","(675, 24000)",lstm
mfcc,1,1.0,10,3,0.1037037037037037,0.08766621418060633,"(10, 47)","(2696, 24000)","(675, 24000)",lstm
