,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,stft,3,0.0,256,5,0.40718562874251496,0.34131181318681314,"(129, 1126)","(665, 72000)","(167, 72000)"
1,stft,3,0.0,512,5,0.4191616766467065,0.3537698412698413,"(257, 563)","(665, 72000)","(167, 72000)"
2,stft,3,0.0,1024,5,0.4251497005988024,0.3515376984126985,"(513, 282)","(665, 72000)","(167, 72000)"
3,stft,3,0.0,2048,5,0.47904191616766467,0.4051339285714286,"(1025, 141)","(665, 72000)","(167, 72000)"
