feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,2,0.0,512,3,0.4103448275862069,0.37187922031672027,"(513,)","(1157, 48000)","(290, 48000)",svm
lpc,2,0.25,512,3,0.1724137931034483,0.16457732843423634,"(513,)","(1157, 48000)","(290, 48000)",svm
lpc,2,0.5,512,3,0.12413793103448276,0.10617690481820917,"(513,)","(1157, 48000)","(290, 48000)",svm
lpc,2,0.75,512,3,0.10344827586206896,0.0821528760147686,"(513,)","(1157, 48000)","(290, 48000)",svm
lpc,2,1.0,512,3,0.10344827586206896,0.08305605240347887,"(513,)","(1157, 48000)","(290, 48000)",svm
