feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,1,0.0,2048,3,0.3022222222222222,0.28821038965090223,"(2049,)","(2696, 24000)","(675, 24000)",svm
lpc,1,0.25,2048,3,0.19703703703703704,0.15948558701469337,"(2049,)","(2696, 24000)","(675, 24000)",svm
lpc,1,0.5,2048,3,0.1674074074074074,0.13522047562932613,"(2049,)","(2696, 24000)","(675, 24000)",svm
lpc,1,0.75,2048,3,0.1837037037037037,0.150194862213504,"(2049,)","(2696, 24000)","(675, 24000)",svm
lpc,1,1.0,2048,3,0.14222222222222222,0.11455377872729684,"(2049,)","(2696, 24000)","(675, 24000)",svm
