feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,2,0.0,2048,3,0.23448275862068965,0.20760217791467792,"(2049,)","(1157, 48000)","(290, 48000)",svm
lpc,2,0.25,2048,3,0.14482758620689656,0.10724998959373959,"(2049,)","(1157, 48000)","(290, 48000)",svm
lpc,2,0.5,2048,3,0.11379310344827587,0.08040497209905105,"(2049,)","(1157, 48000)","(290, 48000)",svm
lpc,2,0.75,2048,3,0.11379310344827587,0.08031776672401672,"(2049,)","(1157, 48000)","(290, 48000)",svm
lpc,2,1.0,2048,3,0.11379310344827587,0.08612932934053624,"(2049,)","(1157, 48000)","(290, 48000)",svm
