feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,1,0.0,512,3,0.3674074074074074,0.3503473998894185,"(513,)","(2696, 24000)","(675, 24000)",svm
lpc,1,0.25,512,3,0.22814814814814813,0.2042199545633935,"(513,)","(2696, 24000)","(675, 24000)",svm
lpc,1,0.5,512,3,0.18962962962962965,0.1684396289615803,"(513,)","(2696, 24000)","(675, 24000)",svm
lpc,1,0.75,512,3,0.1688888888888889,0.14703823712249106,"(513,)","(2696, 24000)","(675, 24000)",svm
lpc,1,1.0,512,3,0.14666666666666667,0.13148728015190006,"(513,)","(2696, 24000)","(675, 24000)",svm
