,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,fft,3,0.0,256,3,0.059880239520958084,0.03635912698412699,"(256,)","(665, 72000)","(167, 72000)"
1,fft,3,0.0,512,3,0.08383233532934131,0.0677579365079365,"(512,)","(665, 72000)","(167, 72000)"
2,fft,3,0.0,1024,3,0.15568862275449102,0.13658234126984128,"(1024,)","(665, 72000)","(167, 72000)"
3,fft,3,0.0,2048,3,0.23353293413173654,0.18095463564213565,"(2048,)","(665, 72000)","(167, 72000)"
4,fft,3,0.25,256,3,0.0658682634730539,0.041054894179894184,"(256,)","(665, 72000)","(167, 72000)"
5,fft,3,0.25,512,3,0.08383233532934131,0.07222222222222222,"(512,)","(665, 72000)","(167, 72000)"
6,fft,3,0.25,1024,3,0.15568862275449102,0.14015376984126984,"(1024,)","(665, 72000)","(167, 72000)"
7,fft,3,0.25,2048,3,0.2634730538922156,0.21221064814814816,"(2048,)","(665, 72000)","(167, 72000)"
8,fft,3,0.5,256,3,0.059880239520958084,0.03497850529100529,"(256,)","(665, 72000)","(167, 72000)"
9,fft,3,0.5,512,3,0.10778443113772455,0.09661044973544973,"(512,)","(665, 72000)","(167, 72000)"
10,fft,3,0.5,1024,3,0.16766467065868262,0.14692460317460318,"(1024,)","(665, 72000)","(167, 72000)"
11,fft,3,0.5,2048,3,0.25748502994011974,0.200760582010582,"(2048,)","(665, 72000)","(167, 72000)"
12,fft,3,1.0,256,3,0.059880239520958084,0.04085648148148149,"(256,)","(665, 72000)","(167, 72000)"
13,fft,3,1.0,512,3,0.0658682634730539,0.05714285714285714,"(512,)","(665, 72000)","(167, 72000)"
14,fft,3,1.0,1024,3,0.1437125748502994,0.12638888888888888,"(1024,)","(665, 72000)","(167, 72000)"
15,fft,3,1.0,2048,3,0.25149700598802394,0.2035977332852333,"(2048,)","(665, 72000)","(167, 72000)"
