,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,lpc,2,0.0,256,3,0.4413793103448276,0.41755848318348326,"(257,)","(1157, 48000)","(290, 48000)"
1,lpc,2,0.0,512,3,0.4103448275862069,0.37187922031672027,"(513,)","(1157, 48000)","(290, 48000)"
2,lpc,2,0.0,1024,3,0.33793103448275863,0.2971283720364603,"(1025,)","(1157, 48000)","(290, 48000)"
3,lpc,2,0.0,2048,3,0.23448275862068965,0.20760217791467792,"(2049,)","(1157, 48000)","(290, 48000)"
4,lpc,2,0.25,256,3,0.17586206896551723,0.15154492498242497,"(257,)","(1157, 48000)","(290, 48000)"
5,lpc,2,0.25,512,3,0.16896551724137931,0.14573294158130745,"(513,)","(1157, 48000)","(290, 48000)"
6,lpc,2,0.25,1024,3,0.16896551724137931,0.1234473204264871,"(1025,)","(1157, 48000)","(290, 48000)"
7,lpc,2,0.25,2048,3,0.1724137931034483,0.12377766909016909,"(2049,)","(1157, 48000)","(290, 48000)"
8,lpc,2,0.5,256,3,0.17586206896551723,0.16798905070963896,"(257,)","(1157, 48000)","(290, 48000)"
9,lpc,2,0.5,512,3,0.15172413793103448,0.13815083253355845,"(513,)","(1157, 48000)","(290, 48000)"
10,lpc,2,0.5,1024,3,0.12758620689655173,0.09301733290863727,"(1025,)","(1157, 48000)","(290, 48000)"
11,lpc,2,0.5,2048,3,0.14482758620689656,0.10432212790776518,"(2049,)","(1157, 48000)","(290, 48000)"
12,lpc,2,1.0,256,3,0.1724137931034483,0.15593058561808562,"(257,)","(1157, 48000)","(290, 48000)"
13,lpc,2,1.0,512,3,0.12758620689655173,0.0994293020787586,"(513,)","(1157, 48000)","(290, 48000)"
14,lpc,2,1.0,1024,3,0.10000000000000002,0.06653290570729829,"(1025,)","(1157, 48000)","(290, 48000)"
15,lpc,2,1.0,2048,3,0.1310344827586207,0.09695775823891815,"(2049,)","(1157, 48000)","(290, 48000)"
