,feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size
0,lpc,3,0.0,256,3,0.41317365269461076,0.37622354497354493,"(257,)","(665, 72000)","(167, 72000)"
1,lpc,3,0.0,512,3,0.3532934131736527,0.3005050505050505,"(513,)","(665, 72000)","(167, 72000)"
2,lpc,3,0.0,1024,3,0.31736526946107785,0.2586489898989899,"(1025,)","(665, 72000)","(167, 72000)"
3,lpc,3,0.0,2048,3,0.2215568862275449,0.1737160409035409,"(2049,)","(665, 72000)","(167, 72000)"
4,lpc,3,0.25,256,3,0.2215568862275449,0.18625315656565655,"(257,)","(665, 72000)","(167, 72000)"
5,lpc,3,0.25,512,3,0.1317365269461078,0.1187169312169312,"(513,)","(665, 72000)","(167, 72000)"
6,lpc,3,0.25,1024,3,0.17964071856287422,0.1299107142857143,"(1025,)","(665, 72000)","(167, 72000)"
7,lpc,3,0.25,2048,3,0.1497005988023952,0.12400042087542089,"(2049,)","(665, 72000)","(167, 72000)"
8,lpc,3,0.5,256,3,0.17964071856287422,0.14971064814814813,"(257,)","(665, 72000)","(167, 72000)"
9,lpc,3,0.5,512,3,0.16167664670658682,0.11832837301587303,"(513,)","(665, 72000)","(167, 72000)"
10,lpc,3,0.5,1024,3,0.1317365269461078,0.09060094997594997,"(1025,)","(665, 72000)","(167, 72000)"
11,lpc,3,0.5,2048,3,0.1317365269461078,0.09455266955266955,"(2049,)","(665, 72000)","(167, 72000)"
12,lpc,3,1.0,256,3,0.1377245508982036,0.11370701058201059,"(257,)","(665, 72000)","(167, 72000)"
13,lpc,3,1.0,512,3,0.12574850299401197,0.10420875420875421,"(513,)","(665, 72000)","(167, 72000)"
14,lpc,3,1.0,1024,3,0.12574850299401197,0.09429713804713803,"(1025,)","(665, 72000)","(167, 72000)"
15,lpc,3,1.0,2048,3,0.1437125748502994,0.10803729256854257,"(2049,)","(665, 72000)","(167, 72000)"
