feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
stft,1,0.0,256,3,0.10074074074074074,0.08076597993208573,"(129, 376)","(2696, 24000)","(675, 24000)",lstm
stft,1,0.25,256,3,0.08296296296296296,0.06351450455583955,"(129, 376)","(2696, 24000)","(675, 24000)",lstm
stft,1,0.5,256,3,0.011851851851851853,0.004591444903831168,"(129, 376)","(2696, 24000)","(675, 24000)",lstm
stft,1,0.75,256,3,0.07851851851851852,0.05224383154572764,"(129, 376)","(2696, 24000)","(675, 24000)",lstm
stft,1,1.0,256,3,0.0044444444444444444,9.512937595129375e-05,"(129, 376)","(2696, 24000)","(675, 24000)",lstm
