feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
stft,1,0.0,1024,3,0.22074074074074074,0.14735365348358834,"(513, 94)","(2696, 24000)","(675, 24000)",lstm
stft,1,0.25,1024,3,0.11851851851851852,0.06560023983112911,"(513, 94)","(2696, 24000)","(675, 24000)",lstm
stft,1,0.5,1024,3,0.01037037037037037,0.0007423098079038672,"(513, 94)","(2696, 24000)","(675, 24000)",lstm
stft,1,0.75,1024,3,0.14666666666666667,0.07525393115063038,"(513, 94)","(2696, 24000)","(675, 24000)",lstm
stft,1,1.0,1024,3,0.01037037037037037,0.00021572978303747534,"(513, 94)","(2696, 24000)","(675, 24000)",lstm
