feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,3,0.0,512,3,0.4011976047904192,0.3454861111111111,"(513,)","(665, 72000)","(167, 72000)",cnn
lpc,3,0.25,512,3,0.31736526946107785,0.27840354090354086,"(513,)","(665, 72000)","(167, 72000)",cnn
lpc,3,0.5,512,3,0.2934131736526946,0.24599867724867722,"(513,)","(665, 72000)","(167, 72000)",cnn
lpc,3,0.75,512,3,0.31137724550898205,0.26778499278499274,"(513,)","(665, 72000)","(167, 72000)",cnn
lpc,3,1.0,512,3,0.2754491017964072,0.22212301587301586,"(513,)","(665, 72000)","(167, 72000)",cnn
