feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,2,0.0,10,3,0.39655172413793105,0.381125992063492,"(10, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.25,10,3,0.2896551724137931,0.2576397529722338,"(10, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.5,10,3,0.2620689655172414,0.20860156230222018,"(10, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.75,10,3,0.24482758620689654,0.19426667593027883,"(10, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,1.0,10,3,0.23793103448275862,0.1841166356791357,"(10, 94)","(1157, 48000)","(290, 48000)",knn
