feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,2,0.0,18,3,0.47586206896551725,0.4593188061938062,"(18, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.25,18,3,0.36206896551724144,0.3324932849192717,"(18, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.5,18,3,0.3655172413793104,0.32399573465749937,"(18, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.75,18,3,0.3310344827586207,0.2902623129185629,"(18, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,1.0,18,3,0.2793103448275862,0.23841676146539337,"(18, 94)","(1157, 48000)","(290, 48000)",knn
