feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,1,0.0,26,3,0.4785185185185185,0.49096519738945116,"(26, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.25,26,3,0.42518518518518517,0.41023732037718547,"(26, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.5,26,3,0.42518518518518517,0.4090952699266461,"(26, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,0.75,26,3,0.4000000000000001,0.3792928604067482,"(26, 47)","(2696, 24000)","(675, 24000)",knn
mfcc,1,1.0,26,3,0.3837037037037037,0.366121850957009,"(26, 47)","(2696, 24000)","(675, 24000)",knn
