feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,3,0.0,18,3,0.5149700598802395,0.47804105616605613,"(18, 141)","(665, 72000)","(167, 72000)",knn
mfcc,3,0.25,18,3,0.4491017964071856,0.4164765211640211,"(18, 141)","(665, 72000)","(167, 72000)",knn
mfcc,3,0.5,18,3,0.48502994011976047,0.46830357142857143,"(18, 141)","(665, 72000)","(167, 72000)",knn
mfcc,3,0.75,18,3,0.47305389221556887,0.4409626831501831,"(18, 141)","(665, 72000)","(167, 72000)",knn
mfcc,3,1.0,18,3,0.4491017964071856,0.39405663780663774,"(18, 141)","(665, 72000)","(167, 72000)",knn
