feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,2,0.0,26,3,0.49310344827586206,0.48370425870425876,"(26, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.25,26,3,0.4172413793103449,0.3901483153521197,"(26, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.5,26,3,0.3896551724137931,0.36944004707248906,"(26, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.75,26,3,0.35517241379310344,0.32409584106293193,"(26, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,1.0,26,3,0.31724137931034485,0.2923632152614995,"(26, 94)","(1157, 48000)","(290, 48000)",knn
