feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
stft,1,0.0,512,3,0.5703703703703704,0.5572782677263778,"(257, 188)","(2696, 24000)","(675, 24000)",mlp
stft,1,0.25,512,3,0.2948148148148148,0.2932660050610035,"(257, 188)","(2696, 24000)","(675, 24000)",mlp
stft,1,0.5,512,3,0.007407407407407408,0.0026535597214711556,"(257, 188)","(2696, 24000)","(675, 24000)",mlp
stft,1,0.75,512,3,0.0044444444444444444,0.00012303149606299212,"(257, 188)","(2696, 24000)","(675, 24000)",mlp
stft,1,1.0,512,3,0.017777777777777778,0.00739179029392266,"(257, 188)","(2696, 24000)","(675, 24000)",mlp
