feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,2,0.0,512,3,0.35517241379310344,0.3239891474266474,"(513,)","(1157, 48000)","(290, 48000)",mlp
lpc,2,0.25,512,3,0.25862068965517243,0.22472567941317942,"(513,)","(1157, 48000)","(290, 48000)",mlp
lpc,2,0.5,512,3,0.24482758620689654,0.21579606735856735,"(513,)","(1157, 48000)","(290, 48000)",mlp
lpc,2,0.75,512,3,0.23103448275862068,0.19721696127946128,"(513,)","(1157, 48000)","(290, 48000)",mlp
lpc,2,1.0,512,3,0.2413793103448276,0.21398676554926555,"(513,)","(1157, 48000)","(290, 48000)",mlp
