feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,3,0.0,2048,3,0.19161676646706588,0.14858706108706107,"(2049,)","(665, 72000)","(167, 72000)",mlp
lpc,3,0.25,2048,3,0.15568862275449102,0.12270998677248679,"(2049,)","(665, 72000)","(167, 72000)",mlp
lpc,3,0.5,2048,3,0.17365269461077845,0.1331845238095238,"(2049,)","(665, 72000)","(167, 72000)",mlp
lpc,3,0.75,2048,3,0.16167664670658682,0.11215277777777777,"(2049,)","(665, 72000)","(167, 72000)",mlp
lpc,3,1.0,2048,3,0.1437125748502994,0.11240079365079365,"(2049,)","(665, 72000)","(167, 72000)",mlp
