feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
mfcc,2,0.0,10,0,0.2482758620689655,0.20667898526594178,"(10, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.0,18,0,0.36206896551724144,0.30599064223384875,"(18, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.0,26,0,0.3482758620689655,0.30403248580424114,"(26, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.0,34,0,0.32413793103448274,0.2781367122056048,"(34, 94)","(1157, 48000)","(290, 48000)",knn
mfcc,2,0.0,40,0,0.32068965517241377,0.2781582014869366,"(40, 94)","(1157, 48000)","(290, 48000)",knn
